Anduril USB Hub,,,,,,,,,,,,,,
Description/Use,Manufactuer,Manufactuerer PN,Vender,Vendor PN,Qty Needed per 1 Assy,Qty Needed per 25 Assy,Qty per 1 Order,Cost per 1 Order,Qty ordered,Cost ext,Link,Package,Datasheet,Notes
1uF Capacitor,Kemet,C0805C105K5RACTU,Mouser,80-C0805C105K5R,3,,1,0.35,3,1.05,https://www.mouser.com/ProductDetail/KEMET/C0805C105K5RACTU?qs=iP0bYSAMAFrBrUflcErrLQ%3D%3D,0805,https://www.mouser.com/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf,-
1.5A Fuse,Bel Fuse,0ZCK0075FF2E,Mouser,530-0ZCK0075FF2E,3,,1,0.24,3,0.72,https://www.mouser.com/ProductDetail/Bel-Fuse/0ZCK0075FF2E?qs=SRYZG9HaIQ0ArU153f4BRA%3D%3D,0805,https://www.mouser.com/datasheet/2/643/ds_CP_0zck_series-1664145.pdf,-
1.95A Fuse,Bel Fuse,0ZCK0100FF2E,Mouser,530-0ZCK0100FF2E,1,,1,0.38,1,0.38,https://www.mouser.com/ProductDetail/Bel-Fuse/0ZCK0100FF2E?qs=SRYZG9HaIQ2v8oGuvbK2Ow%3D%3D,0805,https://www.mouser.com/datasheet/2/643/ds_CP_0zck_series-1664145.pdf,-
1A Fuse,Bel Fuse,0ZCK0050FF2E,Mouser,530-0ZCK0050FF2E,1,,1,0.24,1,0.24,https://www.mouser.com/ProductDetail/Bel-Fuse/0ZCK0050FF2E?qs=SRYZG9HaIQ3gw527qS%252BJNw%3D%3D,0805,https://www.mouser.com/datasheet/2/643/ds_CP_0zck_series-1664145.pdf,-
750mA Fuse,Bel Fuse,0ZCK0035FF2G,Mouser,530-0ZCK0035FF2G,3,,1,0.19,3,0.57,https://www.mouser.com/ProductDetail/Bel-Fuse/0ZCK0035FF2G?qs=SRYZG9HaIQ1hwWyCkUgYKw%3D%3D,0805,https://www.mouser.com/datasheet/2/643/ds_CP_0zck_series-1664145.pdf,-
TVS Diode,Wurth Elektronik,82400102,Mouser,710-82400102,3,,1,0.85,3,2.55,https://www.mouser.com/ProductDetail/Wurth-Elektronik/82400102?qs=Wn16VcyqZWq4x2NXBP4V%252Bw%3D%3D,SOT-23-6,https://www.mouser.com/datasheet/2/445/82400102-1724907.pdf,-
USB C Connector,GCT,USB4105-GF-A,Mouser,640-USB4105-GF-A,2,,1,0.81,2,1.62,https://www.mouser.com/ProductDetail/GCT/USB4105-GF-A?qs=KUoIvG%2F9IlY%2FMLlBMpStpA%3D%3D,Connector,https://www.mouser.com/datasheet/2/837/USB4105-2888174.pdf,-
USB A Connector,GCT,USB1125-GF-B,Mouser,640-USB1125-GF-B,2,,1,0.54,2,1.08,https://www.mouser.com/ProductDetail/GCT/USB1125-GF-B?qs=KUoIvG%2F9IlbMrLtAEIp0gA%3D%3D,Connector,https://www.mouser.com/datasheet/2/837/USB1125-2888431.pdf,-
600Ohm Ferrite Bead,Laird Performance Matls,MI0805K601R-10,Mouser,875-MI0805K601R-10,1,,1,0.23,1,0.23,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/MI0805K601R-10?qs=bbdZqDPQhEXXIHxc191aOg%3D%3D,0805,https://www.mouser.com/datasheet/2/987/mi0805k601r_10_datasheet-2947150.pdf,-
,,,,,,,,,,,,,,
,,,,,,,,,Total,18.62,less with 1 fuse set,,,
Alternates,,,,,,,,,,,,,,
TVS Diode,STMicroelectronics,USBLC6-2SC6,Mouser,511-USBLC6-2SC6,3,,1,0.63,3,1.89,https://www.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D,SOT-23-6,Link,-
1A Fuse,Littelfuse,0805L050WR,Mouser,576-0805L050,1,,1,2.35,1,2.35,https://www.mouser.com/ProductDetail/Littelfuse/0805L050WR?qs=SJZ%252BTX%252BI2BS1ufZ22HRodg%3D%3D,0805,https://www.mouser.com/datasheet/2/240/Littelfuse_PTC_0805L_Datasheet_pdf-2956257.pdf,"500ma Hold, 1A Trip"
1.95A Fuse,Littelfuse,0805L100WR,Mouser,576-0805L100,3,,1,1.22,3,3.66,https://www.mouser.com/ProductDetail/Littelfuse/0805L100WR?qs=SJZ%252BTX%252BI2BTMlREVsW49pQ%3D%3D,0805,https://www.mouser.com/datasheet/2/240/Littelfuse_PTC_0805L_Datasheet_pdf-2956257.pdf,"1A Hold, 1.95A Trip"
750mA Fuse,Littelfuse,0805L035YR,Mouser,576-0805L035,,,1,1.76,2,3.52,https://www.mouser.com/ProductDetail/Littelfuse/0805L035YR?qs=SJZ%252BTX%252BI2BSq4oFD83jjBA%3D%3D,0805,https://www.mouser.com/datasheet/2/240/Littelfuse_PTC_0805L_Datasheet_pdf-2956257.pdf,"350mA Hold, 750mA Trip"
1.5A Fuse,Littelfuse,0805L075WR,Mouser,576-0805L075WR,,,1,2.35,2,4.7,https://www.mouser.com/ProductDetail/Littelfuse/0805L075WR?qs=gOdenYySUw5wkBcmg2CY4A%3D%3D,0805,https://www.mouser.com/datasheet/2/240/Littelfuse_PTC_0805L_Datasheet_pdf-2956257.pdf,"750mA Hold, 1.5A Trip"
